arc,times,Primitive,Subject type,Subproperty of,Object Type,Activity,Others,Note
<http://purl.org/dj/remove>,85,,,,,,,
<http://purl.org/dj/line>,84,,,,,,,
<http://purl.org/dj/exp>,83,,,,,,,
<http://purl.org/dj/hstack>,83,,,,,,,
<http://purl.org/dj/subplots_adjust>,82,,,,,,,
<http://purl.org/dj/add_weight>,82,,,,,,,
<http://purl.org/dj/write>,82,,,,,,,
<http://purl.org/dj/to_numeric>,81,,,,,,,
<http://purl.org/dj/summary>,81,,,,,,,
<http://purl.org/dj/leaky_relu>,81,,,,,,,
<http://purl.org/dj/to_frame>,81,,,,,,,
<http://purl.org/dj/Index>,80,,,,,,,
<http://purl.org/dj/ravel>,80,,,,,,,
<http://purl.org/dj/read_feather>,80,,,,,,,
<http://purl.org/dj/sigmoid>,80,,,,,,,
<http://purl.org/dj/get_oof>,80,,,,,,,
<http://purl.org/dj/load_weights>,79,,,,,,,
<http://purl.org/dj/jointplot>,79,,,,,,,
<http://purl.org/dj/sort_index>,77,,,,,,,
<http://purl.org/dj/cumsum>,77,,,,,,,
<http://purl.org/dj/manual_seed>,76,,,,,,,
<http://purl.org/dj/ones>,76,,,,,,,
<http://purl.org/dj/to_dict>,76,,,,,,,
<http://purl.org/dj/residual_block>,74,,,,,,,
<http://purl.org/dj/set_style>,73,,,,,,,
<http://purl.org/dj/LGBMRegressor>,73,,,,,,,
<http://purl.org/dj/RandomizedSearchCV>,73,,,,,,,
<http://purl.org/dj/target_encode>,73,,,,,,,
<http://purl.org/dj/factorize>,72,,,,,,,
<http://purl.org/dj/set_yticks>,71,,,,,,,
<http://purl.org/dj/pdp_isolate>,70,,,,,,,
<http://purl.org/dj/maximum>,70,,,,,,,
<http://purl.org/dj/savefig>,69,,,,,,,
<http://purl.org/dj/pad>,67,,,,,,,
<http://purl.org/dj/zeros_like>,66,,,,,,,
<http://purl.org/dj/add_patch>,65,,,,,,,
<http://purl.org/dj/violinplot>,65,,,,,,,
<http://purl.org/dj/tick_params>,65,,,,,,,
<http://purl.org/dj/putText>,65,,,,,,,
<http://purl.org/dj/lower>,64,,,,,,,
<http://purl.org/dj/map_atom_info>,64,,,,,,,
<http://purl.org/dj/sin>,63,,,,,,,
<http://purl.org/dj/init_notebook_mode>,63,,,,,,,
<http://purl.org/dj/query>,63,,,,,,,
<http://purl.org/dj/f1_score>,63,,,,,,,
<http://purl.org/dj/eval>,62,,,,,,,
<http://purl.org/dj/catplot>,62,,,,,,,
<http://purl.org/dj/set_xticks>,60,,,,,,,
<http://purl.org/dj/squeeze>,60,,,,,,,
<http://purl.org/dj/test_regression>,60,,,,,,,
<http://purl.org/dj/normalize>,59,,,,,,,
<http://purl.org/dj/dcmread>,59,,,,,,,
<http://purl.org/dj/sort>,59,,,,,,,
<http://purl.org/dj/most_common>,59,,,,,,,
<http://purl.org/dj/scatterplot>,58,,,,,,,
<http://purl.org/dj/set_yticklabels>,58,,,,,,,
<http://purl.org/dj/zip>,58,,,,,,,
<http://purl.org/dj/move>,58,,,,,,,
<http://purl.org/dj/predict_generator>,58,,,,,,,
<http://purl.org/dj/circle>,58,,,,,,,
<http://purl.org/dj/auc>,57,,,,,,,
<http://purl.org/dj/floor>,57,,,,,,,
<http://purl.org/dj/insert>,57,,,,,,,
<http://purl.org/dj/rectangle>,57,,,,,,,
<http://purl.org/dj/Scatter3d>,56,,,,,,,
<http://purl.org/dj/probplot>,56,,,,,,,
<http://purl.org/dj/plot_confusion_matrix>,56,,,,,,,
<http://purl.org/dj/post_process>,56,,,,,,,
<http://purl.org/dj/create_X_y>,56,,,,,,,
<http://purl.org/dj/numpy>,55,,,,,,,
<http://purl.org/dj/model_report>,55,,,,,,,
<http://purl.org/dj/read_file>,54,,,,,,,
<http://purl.org/dj/range>,54,,,,,,,
<http://purl.org/dj/feature_importance>,54,,,,,,,
<http://purl.org/dj/cohen_kappa_score>,54,,,,,,,
<http://purl.org/dj/LGBMClassifier>,53,,,,,,,
<http://purl.org/dj/melt>,52,,,,,,,
<http://purl.org/dj/Parameter>,52,,,,,,,
<http://purl.org/dj/set_size_inches>,52,,,,,,,
<http://purl.org/dj/from_dict>,52,,,,,,,
<http://purl.org/dj/train_calibrate_predict>,52,,,,,,,
<http://purl.org/dj/qcut>,51,,,,,,,
<http://purl.org/dj/encode_title>,51,,,,,,,
<http://purl.org/dj/to_categorical>,50,,,,,,,
<http://purl.org/dj/Rectangle>,50,,,,,,,
<http://purl.org/dj/delete>,50,,,,,,,
<http://purl.org/dj/size>,49,,,,,,,
<http://purl.org/dj/setp>,49,,,,,,,
<http://purl.org/dj/twinx>,49,,,,,,,
<http://purl.org/dj/run_lgb>,48,,,,,,,
<http://purl.org/dj/batch_norm>,48,,,,,,,
<http://purl.org/dj/fill>,48,,,,,,,
<http://purl.org/dj/minimize>,48,,,,,,,
<http://purl.org/dj/get_central_point>,48,,,,,,,
<http://purl.org/dj/lfilter>,48,,,,,,,
<http://purl.org/dj/find_best_classifier>,48,,,,,,,
<http://purl.org/dj/simplefilter>,47,,,,,,,
<http://purl.org/dj/groupby>,47,,,,,,,
<http://purl.org/dj/skew>,47,,,,,,,
<http://purl.org/dj/glob>,47,,,,,,,
<http://purl.org/dj/load_state_dict>,46,,,,,,,
<http://purl.org/dj/get_height>,46,,,,,,,
<http://purl.org/dj/Heatmap>,46,,,,,,,
<http://purl.org/dj/criterion>,45,,,,,,,
<http://purl.org/dj/flow>,45,,,,,,,
<http://purl.org/dj/make_predictions>,44,,,,,,,
<http://purl.org/dj/add_trend_feature>,44,,,,,,,
<http://purl.org/dj/subtract>,44,,,,,,,
<http://purl.org/dj/reindex>,44,,,,,,,
<http://purl.org/dj/load_img>,44,,,,,,,
<http://purl.org/dj/CatBoostClassifier>,43,,,,,,,
<http://purl.org/dj/cv>,43,,,,,,,
